EmployeeID,FirstName,MiddleInitial,LastName
1,Abraham,e,Bennet
2,Reginald,l,Blotchet-Halls
3,Cheryl,a,Carson
4,Michel,e,DeFrance
5,Innes,e,"del Castillo"
6,Ann,u,Dull
7,Marjorie,r,Green
8,Morningstar,r,Greene
9,Burt,r,Gringlesby
10,Sheryl,u,Hunter
11,Livia,a,Karsen
12,Charlene,o,Locksley
13,Stearns,a,MacFeather
14,Heather,c,McBadden
15,Michael,',O'Leary
16,Sylvia,a,Panteley
17,Albert,i,Ringer
18,Anne,i,Ringer
19,Meander,m,Smith
20,Dean,t,Straight
21,Dirk,t,Stringer
22,Johnson,h,White
23,Akiko,o,Yokomoto
